PR,URL,Title,Content type,Is rendered page,HTTP status code,Organic traffic,Depth,Is indexable page,Canonical URL,Canonical URL code,Canonical URL patch,Canonical URL patch status,No. of canonical inlinks,Content hash,No. of pages having the same content,Title patch,Title patch status,Meta description,Meta description patch,Meta description patch status,H1
37,https://simple-data-cleaner.com/,Simple Data Cleaner - 100% Private UK Data Validation | GDPR Compliant,text/html; charset=utf-8,false,200,0,0,true,,,,,0,14144387497258867308,4,,,"Clean and validate UK phone numbers, NI numbers, postcodes, and bank sort codes in your browser. 100% private - your data never leaves your device. Perfect for businesses handling sensitive PII. GDPR compliant data cleaning.",,,Clean Your UK Data Instantly
21,https://www.simple-data-cleaner.com/postcode-variations-coverage.php,UK Postcode Format Support - Simple Data Cleaner,text/html; charset=utf-8,false,200,0,2,true,,,,,0,13914080826866052570,2,,,,,,UK Postcode Format Support
21,https://simple-data-cleaner.com/postcode-variations-coverage.php,UK Postcode Format Support - Simple Data Cleaner,text/html; charset=utf-8,false,200,0,0,true,,,,,0,13914080826866052570,2,,,,,,UK Postcode Format Support
36,https://www.simple-data-cleaner.com/bespoke.php,Bespoke Data Cleaning - Simple Data Cleaner,text/html; charset=utf-8,false,200,0,1,true,,,,,0,4268719026524183643,2,,,,,,Tell us about the data you need cleaned
36,https://simple-data-cleaner.com/bespoke.php,Bespoke Data Cleaning - Simple Data Cleaner,text/html; charset=utf-8,false,200,0,0,true,,,,,0,4268719026524183643,2,,,,,,Tell us about the data you need cleaned
36,https://www.simple-data-cleaner.com/gdpr.php,GDPR Compliance - Simple Data Cleaner | Data Protection & Privacy,text/html; charset=utf-8,false,200,0,1,true,,,,,0,3188256337304245506,2,,,Simple Data Cleaner is GDPR compliant. Learn how our browser-based processing means your data never leaves your device and we're not a data processor.,,,GDPR Compliance
36,https://simple-data-cleaner.com/gdpr.php,GDPR Compliance - Simple Data Cleaner | Data Protection & Privacy,text/html; charset=utf-8,false,200,0,0,true,,,,,0,3188256337304245506,2,,,Simple Data Cleaner is GDPR compliant. Learn how our browser-based processing means your data never leaves your device and we're not a data processor.,,,GDPR Compliance
36,https://www.simple-data-cleaner.com/pricing.php,Pricing - UK Data Cleaner,text/html; charset=utf-8,false,200,0,1,true,,,,,0,2870357972020906320,2,,,,,,"Simple, Transparent Pricing"
36,https://simple-data-cleaner.com/pricing.php,Pricing - UK Data Cleaner,text/html; charset=utf-8,false,200,0,0,true,,,,,0,2870357972020906320,2,,,,,,"Simple, Transparent Pricing"
21,https://www.simple-data-cleaner.com/phone-variations-coverage.php,Phone Number Format Support - Simple Data Cleaner,text/html; charset=utf-8,false,200,0,2,true,,,,,0,2863441246230331184,2,,,,,,Phone Number Format Support
21,https://simple-data-cleaner.com/phone-variations-coverage.php,Phone Number Format Support - Simple Data Cleaner,text/html; charset=utf-8,false,200,0,0,true,,,,,0,2863441246230331184,2,,,,,,Phone Number Format Support
36,https://www.simple-data-cleaner.com/feedback.php,Beta Feedback - Simple Data Cleaner,text/html; charset=utf-8,false,200,0,1,true,,,,,0,2326365209056392085,2,,,,,,Tell us how the beta is going
36,https://simple-data-cleaner.com/feedback.php,Beta Feedback - Simple Data Cleaner,text/html; charset=utf-8,false,200,0,0,true,,,,,0,2326365209056392085,2,,,,,,Tell us how the beta is going
21,https://www.simple-data-cleaner.com/ni-variations-coverage.php,National Insurance Number Format Support - Simple Data Cleaner,text/html; charset=utf-8,false,200,0,2,true,,,,,0,1243277016252052998,2,,,,,,National Insurance Number Format Support
21,https://simple-data-cleaner.com/ni-variations-coverage.php,National Insurance Number Format Support - Simple Data Cleaner,text/html; charset=utf-8,false,200,0,0,true,,,,,0,1243277016252052998,2,,,,,,National Insurance Number Format Support
36,https://www.simple-data-cleaner.com/terms.php,Terms of Service - Simple Data Cleaner,text/html; charset=utf-8,false,200,0,1,true,,,,,0,1093395262497710601,2,,,Read our terms of service for Simple Data Cleaner - understand your rights and responsibilities when using our data cleaning service.,,,Terms of Service
36,https://simple-data-cleaner.com/terms.php,Terms of Service - Simple Data Cleaner,text/html; charset=utf-8,false,200,0,0,true,,,,,0,1093395262497710601,2,,,Read our terms of service for Simple Data Cleaner - understand your rights and responsibilities when using our data cleaning service.,,,Terms of Service
36,https://www.simple-data-cleaner.com/beta-offer.php,Lifetime Beta Offer - Simple Data Cleaner,text/html; charset=utf-8,false,200,0,1,true,,,,,0,405362624922323764,2,,,Lock in lifetime access to the Simple Data Cleaner beta validators for a one-time payment and see what is included.,,,Lifetime access to today’s validator set
36,https://simple-data-cleaner.com/beta-offer.php,Lifetime Beta Offer - Simple Data Cleaner,text/html; charset=utf-8,false,200,0,0,true,,,,,0,405362624922323764,2,,,Lock in lifetime access to the Simple Data Cleaner beta validators for a one-time payment and see what is included.,,,Lifetime access to today’s validator set
